index,name,intagible,research,fixedassets,investmentinassets,ltfi,taxassets,othernoncurrentassets,stocks,taxonaddedvalue,receivables,financialinvestments,cash,othernoncurrentassets,authorizedcapital,treasureshares,valuationofnoncurrentassets,addedcapital,reservecapital,income,ltdebt,lttax,ltexpenses,ltotherliab,stdebt,stcreditdebt,stincomefuture,stexpenses,stother,capitalization
1,Gazprom,20095198000,1906673000,7.82413E+12,2.88305E+12,,1.53066E+11,2.02888E+11,5.42457E+11,48044300000,1.74499E+12,5.00869E+11,4.6167E+11,2004678000,1.18368E+11,,5.88097E+12,,8636001000,4.31624E+12,1.5E+12,5.23022E+11,9180437000,2328046000,9.29199E+11,9.64792E+11,,1.32435E+11,,3.61021E+12
2,Lukoil,383585000,29464000,14818229000,,1.58542E+12,3246290000,538308000,30749000,37221000,2.9468E+11,75801707000,1.21545E+11,,21264000,,12000,12624929000,3191000,1.34228E+12,1.19749E+11,541440000,,83812000,3.61051E+11,2.41485E+11,,18694353,,4.15797E+12
3,Nornickel,9923315000,368260000,3.62256E+11,3170448000,2.37928E+11,,51083480000,1.12037E+11,1038347000,43285860000,55361465000,8373956000,4387943000,158245000,,,48187669,23737000,200570764,4.3962E+11,19251572000,20783273000,29188919000,71347767000,50211444000,29441000,12388161000,,1.68531E+12
4,Magnit,,,713366000,,1.29293E+11,,2715000,48000,,10910716000,8908949000,172000,16000,946000,,,41988451000,142000,41491702000,,7319000,,,20621700000,45716551,,2253000,,3.5272E+11
5,Rosneft,23468759000,4891365000,1.18653E+12,,6.00378E+12,95062970000,169800603,1.42389E+11,72598729000,2.53131E+12,7.28056E+11,1.16639E+11,3.59939E+12,105982000,,5000,1.13279E+11,-2.31743E+11,1.80273E+12,5.08399E+12,91105397000,61023750000,1.41943E+12,8.60271E+11,1.78552E+12,2651115000,94132547000,412609000,4.80415E+12
6,Alrosa,3047514000,333234000,2.44801E+11,421969000,1.80701E+11,7664474000,3801963000,62371842000,412303000,38552076000,30212598000,5104840000,38584000,3682483000,,59531991000,50041980000,736500000,2.74629E+11,57727129000,46228731000,19377232000,,37102473000,19698523000,,8697472000,10464000,6.9673E+11
7,Aeroflot,69825000,570130000,11072450000,566919000,18544406000,13776307000,5289909000,7242830000,319349000,92169373000,,34094269000,790457000,1110616000,,61951000,,277654000,77271364000,,550750000,2604138000,7899479000,,82553305000,408807000,,,1.0173E+11
8,Novatek,2688000,,186511000,6763000,4.75885E+11,175962000,1237375000,7853716000,580862000,77128711000,14519091000,56839388000,75299000,303631000,,,23348870,15182000,4.45104E+11,1.01927E+11,86885000,,,15276903000,47623842000,9952000,795089000,203000,3.14683E+12
9,Surgutneftegaz,28725000,90534919000,,,1.95669E+11,2811446000,9946461000,39433840000,5130499000,32990148000,181779000,55224556000,346134000,8377000,,5422690000,87354182000,504000,90695388000,1.08635E+11,9546463000,,713000,90440639000,37482263000,,2790398000,25929000,1.2208E+12
10,MTS,11674000000,41989000000,1.67765E+11,,2.2796E+11,,24313000000,376000000,4433000000,36635000000,54228000000,13625000000,41000000,200000000,,,35000000,31000000,1.11854E+11,2.90584E+11,13045000000,917000000,1767000000,88710000000,69910000000,2604000000,2382000000,,5.1618E+11
11,NLMK,1603351000,18810000,1.30017E+11,,1.47966E+11,161667000,6158438000,54022367000,3037696000,1.46072E+11,62557498000,8910318000,67000,5993227000,,3300202000,771777000,299661000,3.29937E+11,79363678000,10954069000,,4296000,25360981000,1.00068E+11,,4472566000,,9.5125E+11
12,MMK,437000000,230000000,1.3191E+11,,74934000000,13127000000,910000000,50966000000,5665000000,43361000000,56000000,29518000000,454000000,11174000000,,,24714000000,559000000,1.95753E+11,13846000000,20872000000,7899000000,,14928000000,59735000000,343000000,1745000000,,5.2374E+11
13,Rushydro,1267000000,920000000,4.19635E+11,,3.12149E+11,,4222000000,4258000000,30000000,1.77308E+11,12450000000,50929000000,11000000,4.26289E+11,,52606000000,58424000000,13371000000,2.74994E+11,71698000000,17113000000,,4264000000,50258000000,10583000000,67000000,2976000000,556000000,2.2785E+11
14,Megafon,2069000000,,1.59698E+11,,1.8856E+11,2074000000,54594000000,1827000000,544000000,25619000000,11501000000,18947000000,17533000000,62000000,,194000000,1878000000,3000000,1.26178E+11,2.14608E+11,18755000000,2761000000,2034000000,51235000000,48030000000,,35000000,17293000000,3.627E+11
15,Transneft,8601669000,139910000,87003219000,2368515000,7.10406E+11,5866358000,3899830000,136283000,1.02889E+11,74533897000,1.00897E+12,60724731000,,7124000,,1284547000,58546118000,13044000,1.30118E+11,5.7918E+11,11621596000,,577000,1.21082E+11,1.60093E+11,5408000,2915323000,,2.6721E+11
16,Polyus,7152000,,,,7.65775E+11,1993837000,33812000,,,661989000,,7983293000,172000,133561000,-6596118000,,23590302000,28594000,6.05202E+11,15000000000,1.37837E+11,,,887640000,212558000,,160454000,19000,5.5254E+11
17,FSK,2673277000,81442000,8.78328E+11,,84064907000,,2.85625E+11,9749040000,650020000,1.28379E+11,2051190000,33409107000,27568000,6.37333E+11,,2.85993E+11,31867163000,19492352000,62885484000,2.33862E+11,55006638000,,17242803000,23687193000,54484828000,668204000,2516769000,,1.8993E+11
18,Rostelecom,2844349000,848582000,3.21425E+11,12710694000,1.4306E+11,,31991663000,6059672000,2180922000,51696338000,4223439000,3765630000,812517000,6961000,,2861093000,1.34586E+11,1044000,1.35424E+11,1.65781E+11,33364110000,,5199606000,32709276000,57426453000,1113012000,13050873000,,1.9212E+11
19,Sistema,13156000,,1534127000,,3.80186E+11,17574698000,,43068000,6507000,3869882000,41665608000,3748229000,182841000,868500,,306366000,37708280000,43425000,1.61805E+11,1.09645E+11,28127000,13426607000,4659615000,21683507000,84656237000,,13926928000,65966000,73820000000
20,Rosseti,19502000,,306148000,3623000,3.62752E+11,194147000,369250000,5469000,1538000,2100611000,20000000,34901529000,162200000,2.00903E+11,-1662956000,,2.13098E+11,9903536000,-54555520000,31000000000,16986000,,3725000,659680000,507359000,421347000,532521000,8294000,1.3692E+11
